global_batch,control_batch,arrow_task_batch,qa_task_batch
16900,0.001253,0.003153,0.001086
17000,0.001234,0.003161,0.001087
17100,0.001235,0.003129,0.001111
17200,0.001261,0.003131,0.001075
17300,0.001239,0.003108,0.001086
17400,0.001212,0.003152,0.001075
17500,0.001230,0.003154,0.001091
17600,0.001206,0.003125,0.001091
17700,0.001227,0.003127,0.001082
17800,0.001249,0.003151,0.001082
17900,0.001297,0.003120,0.001090
18000,0.001239,0.003131,0.001083
18100,0.001249,0.003201,0.001098
18200,0.001213,0.003164,0.001074
18300,0.001236,0.003131,0.001096
18400,0.001276,0.003173,0.001093
18500,0.001260,0.003131,0.001084
18600,0.001236,0.003165,0.001084
18700,0.001290,0.003162,0.001079
18800,0.001243,0.003121,0.001087
18900,0.001268,0.003140,0.001084
19000,0.001261,0.003109,0.001097
19100,0.001301,0.003093,0.001084
19200,0.001249,0.003170,0.001086
19300,0.001304,0.003205,0.001083
19400,0.001239,0.003136,0.001093
19500,0.001225,0.003152,0.001081
19600,0.001236,0.003157,0.001093
19700,0.001255,0.003160,0.001081
19800,0.001232,0.003134,0.001082
19900,0.001220,0.003159,0.001081
20000,0.001260,0.003153,0.001088
20100,0.001240,0.003123,0.001096
20200,0.001291,0.003121,0.001073
20300,0.001280,0.003143,0.001076
20400,0.001265,0.003097,0.001078
20500,0.001238,0.003154,0.001082
20600,0.001237,0.003142,0.001083
20700,0.001228,0.003163,0.001077
20800,0.001254,0.003123,0.001089
20900,0.001236,0.003179,0.001090
21000,0.001262,0.003106,0.001081
21100,0.001271,0.003122,0.001097
21200,0.001262,0.003085,0.001081
21300,0.001228,0.003104,0.001094
21400,0.001238,0.003097,0.001069
21500,0.001253,0.003125,0.001101
21600,0.001258,0.003126,0.001084
21700,0.001254,0.003164,0.001098
21800,0.001276,0.003129,0.001102
21900,0.001244,0.003146,0.001077
22000,0.001262,0.003093,0.001097
22100,0.001232,0.003111,0.001090
22200,0.001260,0.003150,0.001077
22300,0.001234,0.003142,0.001075
22400,0.001277,0.003121,0.001079
22500,0.001247,0.003132,0.001075
22600,0.001231,0.003132,0.001089
22700,0.001244,0.003144,0.001083
22800,0.001242,0.003124,0.001082
22900,0.001252,0.003165,0.001085
23000,0.001252,0.003122,0.001102
23100,0.001260,0.003147,0.001100
23200,0.001245,0.003160,0.001093
23300,0.001272,0.003143,0.001088
23400,0.001273,0.003157,0.001082
23500,0.001297,0.003132,0.001078
23600,0.001258,0.003189,0.001086
23700,0.001259,0.003101,0.001083
23800,0.001231,0.003178,0.001082
23900,0.001263,0.003107,0.001091
24000,0.001253,0.003125,0.001091
24100,0.001239,0.003126,0.001081
24200,0.001292,0.003178,0.001075
24300,0.001242,0.003150,0.001084
24400,0.001237,0.003150,0.001071
24500,0.001273,0.003157,0.001073
24600,0.001247,0.003142,0.001101
24700,0.001253,0.003063,0.001086
24800,0.001264,0.003089,0.001082
24900,0.001237,0.003131,0.001090
25000,0.001222,0.003116,0.001092
25100,0.001237,0.003101,0.001097
25200,0.001267,0.003134,0.001078
25300,0.001267,0.003146,0.001096
25400,0.001291,0.003124,0.001092
25500,0.001257,0.003136,0.001076
25600,0.001251,0.003103,0.001083
25700,0.001207,0.003143,0.001092
25800,0.001247,0.003156,0.001095
25900,0.001276,0.003167,0.001086
26000,0.001237,0.003112,0.001140
26100,0.001227,0.003098,0.001097
26200,0.001200,0.003114,0.001080
26300,0.001257,0.003149,0.001074
26400,0.001258,0.003125,0.001072
26500,0.001281,0.003118,0.001077
26600,0.001286,0.003152,0.001088
26700,0.001256,0.003148,0.001081
26800,0.001250,0.003111,0.001085
26900,0.001262,0.003139,0.001084
27000,0.001231,0.003134,0.001127
27100,0.001266,0.003068,0.001089
27200,0.001239,0.003128,0.001077
27300,0.001265,0.003117,0.001131
27400,0.001250,0.003125,0.001080
27500,0.001225,0.003113,0.001089
27600,0.001256,0.003132,0.001103
27700,0.001206,0.003151,0.001091
27800,0.001243,0.003102,0.001084
27900,0.001283,0.003104,0.001095
28000,0.001234,0.003131,0.001086
28100,0.001254,0.003137,0.001088
28200,0.001285,0.003153,0.001109
28300,0.001270,0.003150,0.001075
28400,0.001265,0.003163,0.001084
28500,0.001240,0.003157,0.001068
28600,0.001277,0.003097,0.001080
28700,0.001250,0.003120,0.001069
28800,0.001246,0.003072,0.001075
28900,0.001254,0.003150,0.001079
29000,0.001238,0.003109,0.001069
29100,0.001256,0.003120,0.001098
29200,0.001258,0.003121,0.001085
29300,0.001232,0.003122,0.001090
29400,0.001278,0.003146,0.001085
29500,0.001233,0.003136,0.001072
29600,0.001226,0.003135,0.001077
29700,0.001225,0.003121,0.001091
29800,0.001255,0.003132,0.001080
29900,0.001272,0.003146,0.001074
30000,0.001247,0.003118,0.001072
30100,0.001266,0.003120,0.001094
30200,0.001215,0.003134,0.001080
30300,0.001242,0.003138,0.001091
30400,0.001220,0.003145,0.001071
30500,0.001239,0.003121,0.001088
30600,0.001220,0.003115,0.001079
30700,0.001233,0.003136,0.001091
30800,0.001255,0.003131,0.001078
30900,0.001261,0.003110,0.001083
31000,0.001244,0.003122,0.001071
31100,0.001251,0.003119,0.001073
31200,0.001259,0.003125,0.001081
31300,0.001241,0.003135,0.001086
31400,0.001252,0.003150,0.001067
31500,0.001285,0.003144,0.001081
31600,0.001285,0.003164,0.001085
31700,0.001273,0.003110,0.001078
31800,0.001250,0.003077,0.001079
31900,0.001287,0.003138,0.001085
32000,0.001280,0.003142,0.001085
32100,0.001233,0.003073,0.001099
32200,0.001273,0.003127,0.001087
32300,0.001281,0.003142,0.001090
32400,0.001232,0.003111,0.001090
32500,0.001274,0.003113,0.001073
32600,0.001255,0.003141,0.001105
32700,0.001238,0.003084,0.001073
32800,0.001232,0.003096,0.001082
32900,0.001241,0.003132,0.001095
33000,0.001274,0.003130,0.001074
33100,0.001264,0.003166,0.001093
33200,0.001217,0.003094,0.001064
33300,0.001253,0.003078,0.001094
33400,0.001268,0.003084,0.001084
33500,0.001256,0.003084,0.001089
33600,0.001251,0.003140,0.001095
33700,0.001234,0.003086,0.001078
33800,0.001268,0.003139,0.001091
33900,0.001221,0.003131,0.001097
34000,0.001245,0.003157,0.001064
34100,0.001245,0.003151,0.001086
34200,0.001241,0.003132,0.001093
34300,0.001221,0.003125,0.001077
34400,0.001216,0.003121,0.001090
34500,0.001220,0.003133,0.001085
34600,0.001246,0.003113,0.001088
34700,0.001282,0.003124,0.001091
34800,0.001253,0.003143,0.001088
34900,0.001240,0.003116,0.001085
35000,0.001264,0.003125,0.001085
35100,0.001237,0.003103,0.001075
35200,0.001287,0.003087,0.001075
35300,0.001214,0.003112,0.001083
35400,0.001273,0.003107,0.001079
35500,0.001272,0.003099,0.001077
35600,0.001271,0.003129,0.001080
35700,0.001232,0.003114,0.001084
35800,0.001255,0.003089,0.001088
35900,0.001232,0.003085,0.001086
36000,0.001270,0.003139,0.001091
36100,0.001247,0.003133,0.001088
36200,0.001259,0.003099,0.001083
36300,0.001266,0.003140,0.001084
36400,0.001241,0.003142,0.001086
36500,0.001272,0.003054,0.001071
36600,0.001229,0.003120,0.001103
36700,0.001276,0.003111,0.001111
36800,0.001253,0.003130,0.001098
36900,0.001241,0.003117,0.001081
37000,0.001260,0.003104,0.001072
37100,0.001237,0.003071,0.001078
37200,0.001217,0.003078,0.001088
37300,0.001235,0.003077,0.001082
37400,0.001256,0.003136,0.001079
37500,0.001237,0.003078,0.001071
37600,0.001239,0.003117,0.001075
37700,0.001249,0.003140,0.001086
37800,0.001232,0.003120,0.001084
37900,0.001244,0.003129,0.001082
38000,0.001285,0.003125,0.001085
38100,0.001269,0.003104,0.001081
38200,0.001224,0.003133,0.001076
38300,0.001231,0.003094,0.001076
38400,0.001283,0.003106,0.001088
38500,0.001237,0.003085,0.001080
38600,0.001262,0.003100,0.001092
38700,0.001225,0.003116,0.001085
38800,0.001250,0.003096,0.001086
38900,0.001266,0.003153,0.001081
39000,0.001234,0.003184,0.001077
39100,0.001241,0.003072,0.001091
39200,0.001246,0.003122,0.001082
39300,0.001269,0.003084,0.001071
39400,0.001232,0.003103,0.001100
39500,0.001242,0.003110,0.001072
39600,0.001255,0.003099,0.001074
39700,0.001232,0.003084,0.001074
39800,0.001259,0.003098,0.001081
39900,0.001235,0.003139,0.001087
40000,0.001279,0.003134,0.001092
40100,0.001243,0.003115,0.001080
40200,0.001232,0.003110,0.001066
40300,0.001248,0.003079,0.001080
40400,0.001309,0.003116,0.001086
40500,0.001227,0.003102,0.001083
40600,0.001210,0.003107,0.001085
40700,0.001250,0.003092,0.001087
40800,0.001291,0.003108,0.001096
40900,0.001274,0.003110,0.001094
41000,0.001256,0.003085,0.001072
41100,0.001227,0.003141,0.001086
41200,0.001246,0.003098,0.001089
41300,0.001281,0.003061,0.001101
41400,0.001235,0.003127,0.001090
41500,0.001308,0.003070,0.001091
41600,0.001271,0.003075,0.001080
41700,0.001254,0.003104,0.001084
41800,0.001250,0.003067,0.001087
41900,0.001275,0.003070,0.001090
42000,0.001244,0.003088,0.001077
42100,0.001245,0.003140,0.001084
42200,0.001258,0.003105,0.001086
42300,0.001230,0.003094,0.001078
42400,0.001280,0.003096,0.001072
42500,0.001214,0.003121,0.001093
42600,0.001266,0.003159,0.001082
42700,0.001282,0.003109,0.001074
42800,0.001228,0.003128,0.001087
42900,0.001233,0.003076,0.001082
43000,0.001258,0.003153,0.001068
43100,0.001270,0.003094,0.001097
43200,0.001235,0.003066,0.001078
43300,0.001266,0.003138,0.001101
43400,0.001249,0.003091,0.001097
43500,0.001249,0.003116,0.001095
43600,0.001222,0.003172,0.001086
43700,0.001241,0.003088,0.001078
43800,0.001253,0.003107,0.001081
43900,0.001277,0.003138,0.001063
44000,0.001269,0.003076,0.001085
44100,0.001230,0.003116,0.001088
44200,0.001206,0.003136,0.001079
44300,0.001270,0.003104,0.001094
44400,0.001274,0.003062,0.001086
44500,0.001226,0.003121,0.001091
44600,0.001217,0.003129,0.001077
44700,0.001275,0.003086,0.001097
44800,0.001264,0.003137,0.001091
44900,0.001286,0.003044,0.001076
45000,0.001265,0.003152,0.001114
45100,0.001239,0.003124,0.001118
45200,0.001250,0.003090,0.001099
45300,0.001211,0.003114,0.001083
45400,0.001211,0.003110,0.001077
45500,0.001264,0.003114,0.001081
45600,0.001259,0.003118,0.001079
45700,0.001226,0.003075,0.001088
45800,0.001250,0.003109,0.001088
45900,0.001267,0.003172,0.001072
46000,0.001270,0.003106,0.001071
46100,0.001255,0.003129,0.001110
46200,0.001232,0.003068,0.001084
46300,0.001228,0.003127,0.001079
46400,0.001218,0.003124,0.001081
46500,0.001256,0.003051,0.001079
46600,0.001237,0.003095,0.001078
46700,0.001228,0.003093,0.001067
46800,0.001231,0.003076,0.001092
46900,0.001289,0.003105,0.001081
47000,0.001251,0.003069,0.001081
47100,0.001247,0.003099,0.001083
47200,0.001262,0.003076,0.001082
47300,0.001237,0.003120,0.001086
47400,0.001224,0.003085,0.001091
47500,0.001248,0.003079,0.001134
47600,0.001209,0.003119,0.001078
47700,0.001237,0.003099,0.001068
47800,0.001274,0.003140,0.001082
47900,0.001242,0.003108,0.001066
48000,0.001229,0.003093,0.001074
48100,0.001230,0.003102,0.001089
48200,0.001257,0.003097,0.001071
48300,0.001250,0.003086,0.001091
