global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
9900,0.000652,0.001151,0.002147,0.007576,0.000975,0.000818,0.000823,0.002290,0.001744,0.000837
10000,0.000643,0.001285,0.002091,0.007142,0.000958,0.000805,0.000817,0.002273,0.001822,0.000825
10100,0.000680,0.001428,0.002063,0.007192,0.000978,0.000835,0.000818,0.002238,0.001746,0.000820
10200,0.000641,0.001208,0.002121,0.007325,0.000981,0.000823,0.000873,0.002256,0.001703,0.000834
10300,0.000661,0.001203,0.002126,0.006683,0.000979,0.000823,0.000838,0.002281,0.001751,0.000849
10400,0.000640,0.001254,0.002088,0.006755,0.000960,0.000806,0.000842,0.002244,0.001734,0.000851
10500,0.000644,0.001190,0.002137,0.006406,0.000962,0.000822,0.000823,0.002287,0.001713,0.000824
10600,0.000657,0.001199,0.002025,0.007384,0.000957,0.000823,0.000846,0.002245,0.001703,0.000824
10700,0.000614,0.001208,0.002127,0.007048,0.000954,0.000828,0.000833,0.002249,0.001771,0.000826
10800,0.000674,0.001203,0.002069,0.006879,0.000978,0.000861,0.000844,0.002216,0.001692,0.000826
10900,0.000632,0.001274,0.002092,0.006499,0.000967,0.000843,0.000843,0.002252,0.001714,0.000804
11000,0.000624,0.001156,0.002084,0.007070,0.000972,0.000812,0.000846,0.002275,0.001762,0.000817
11100,0.000658,0.001280,0.002074,0.006924,0.000936,0.000827,0.000820,0.002267,0.001719,0.000830
11200,0.000655,0.001205,0.002087,0.007285,0.000966,0.000822,0.000816,0.002259,0.001703,0.000801
11300,0.000631,0.001203,0.002057,0.007135,0.000964,0.000815,0.000813,0.002235,0.001787,0.000807
11400,0.000646,0.001288,0.002128,0.007288,0.000945,0.000806,0.000828,0.002255,0.001713,0.000798
11500,0.000648,0.001229,0.002101,0.007701,0.000970,0.000819,0.000793,0.002253,0.001707,0.000811
11600,0.000626,0.001141,0.002110,0.007660,0.000966,0.000854,0.000842,0.002295,0.001764,0.000801
11700,0.000641,0.001181,0.002083,0.007224,0.000962,0.000811,0.000835,0.002268,0.001735,0.000800
11800,0.000618,0.001189,0.002060,0.007029,0.000947,0.000817,0.000842,0.002213,0.001707,0.000804
11900,0.000649,0.001248,0.002080,0.007544,0.000946,0.000809,0.000826,0.002362,0.001686,0.000809
12000,0.000634,0.001144,0.002107,0.006557,0.000960,0.000822,0.000849,0.002274,0.001737,0.000781
12100,0.000666,0.001271,0.002083,0.006459,0.000934,0.000804,0.000864,0.002299,0.001734,0.000798
12200,0.000643,0.001186,0.002097,0.007308,0.000942,0.000827,0.000846,0.002261,0.001734,0.000801
12300,0.000604,0.001375,0.002069,0.007290,0.000944,0.000817,0.000809,0.002209,0.001716,0.000772
12400,0.000633,0.001281,0.002112,0.006239,0.000963,0.000814,0.000826,0.002223,0.001678,0.000784
12500,0.000630,0.001482,0.002107,0.007467,0.000959,0.000812,0.000820,0.002251,0.001806,0.000841
12600,0.000621,0.001263,0.002125,0.007410,0.000939,0.000810,0.000824,0.002228,0.001716,0.000833
12700,0.000615,0.001283,0.002066,0.006998,0.000961,0.000777,0.000828,0.002270,0.001735,0.000815
12800,0.000601,0.001196,0.002063,0.006850,0.000961,0.000812,0.000823,0.002228,0.001725,0.000792
12900,0.000621,0.001196,0.002134,0.006762,0.000945,0.000788,0.000820,0.002277,0.001705,0.000804
13000,0.000605,0.001342,0.002042,0.006609,0.000943,0.000818,0.000818,0.002284,0.001723,0.000807
13100,0.000647,0.001314,0.002144,0.006294,0.000949,0.000790,0.000820,0.002260,0.001708,0.000799
13200,0.000626,0.001338,0.002072,0.006854,0.000945,0.000822,0.000831,0.002237,0.001777,0.000796
13300,0.000610,0.001440,0.002123,0.007126,0.000954,0.000818,0.000828,0.002261,0.001689,0.000782
13400,0.000600,0.001700,0.002077,0.007695,0.000959,0.000820,0.000812,0.002220,0.001669,0.000800
13500,0.000629,0.001357,0.002140,0.007061,0.000948,0.000833,0.000840,0.002241,0.001673,0.000807
13600,0.000625,0.001341,0.002076,0.006372,0.000931,0.000824,0.000833,0.002281,0.001642,0.000778
13700,0.000606,0.001210,0.002113,0.007115,0.000949,0.000786,0.000812,0.002238,0.001764,0.000809
13800,0.000632,0.001305,0.002074,0.007907,0.000960,0.000812,0.000846,0.002254,0.001745,0.000816
13900,0.000642,0.001302,0.002099,0.007168,0.000941,0.000807,0.000797,0.002261,0.001749,0.000778
14000,0.000620,0.001333,0.002144,0.007487,0.000927,0.000814,0.000837,0.002207,0.001714,0.000828
14100,0.000654,0.001282,0.002053,0.007349,0.000928,0.000809,0.000840,0.002245,0.001705,0.000790
14200,0.000623,0.001294,0.002130,0.006935,0.000945,0.000818,0.000821,0.002258,0.001653,0.000823
14300,0.000594,0.001230,0.002146,0.007227,0.000945,0.000804,0.000825,0.002275,0.001722,0.000790
14400,0.000614,0.001220,0.002085,0.006515,0.000952,0.000785,0.000850,0.002272,0.001679,0.000806
14500,0.000630,0.001260,0.002056,0.007772,0.000946,0.000816,0.000803,0.002224,0.001733,0.000765
14600,0.000614,0.001242,0.002113,0.006708,0.000953,0.000809,0.000809,0.002306,0.001681,0.000809
14700,0.000639,0.001313,0.002065,0.007024,0.000936,0.000805,0.000856,0.002236,0.001698,0.000778
14800,0.000645,0.001485,0.002087,0.006909,0.000979,0.000813,0.000849,0.002206,0.001708,0.000833
14900,0.000613,0.001256,0.002051,0.007140,0.000945,0.000821,0.000830,0.002221,0.001753,0.000788
15000,0.000618,0.001584,0.002091,0.006671,0.000926,0.000799,0.000817,0.002267,0.001707,0.000749
15100,0.000674,0.001264,0.002916,0.007557,0.000961,0.001000,0.000891,0.002209,0.002034,0.000818
15200,0.000688,0.001294,0.002693,0.006721,0.001001,0.000847,0.000852,0.002341,0.002151,0.001443
15300,0.000622,0.001278,0.002151,0.007423,0.000966,0.000822,0.000870,0.002218,0.001784,0.001012
15400,0.000598,0.001268,0.002088,0.007115,0.000943,0.000850,0.000815,0.002237,0.001753,0.000813
15500,0.000647,0.001359,0.002073,0.006598,0.000928,0.000793,0.000818,0.002207,0.001719,0.000799
15600,0.000603,0.001371,0.002163,0.007430,0.000932,0.000798,0.000809,0.002223,0.001718,0.000803
15700,0.000601,0.001373,0.002127,0.006438,0.000929,0.000782,0.000799,0.002201,0.001679,0.000824
15800,0.000651,0.001296,0.002070,0.007227,0.000948,0.000817,0.000843,0.002241,0.001763,0.000771
15900,0.000654,0.001407,0.002679,0.018402,0.000986,0.000943,0.000922,0.002976,0.001841,0.000946
16000,0.002792,0.003009,0.004069,0.071719,0.002642,0.001985,0.002237,0.003342,0.004697,0.004425
