batch,total_loss,img_recall_loss,text_loss,weight_ce_loss
1,0.019999999552965164,0.0,0.0,0.019999999552965164
2,1.2361446619033813,0.0,0.0,1.2361446619033813
3,1.1817541122436523,0.0,0.0,1.1817541122436523
4,0.019999999552965164,0.0,0.0,0.019999999552965164
5,0.5606156587600708,0.0,0.0,0.5606156587600708
6,0.6790753602981567,0.0,0.0,0.6790753602981567
7,0.019999999552965164,0.0,0.0,0.019999999552965164
8,0.3300437033176422,0.0,0.0,0.3300437033176422
9,0.6249462962150574,0.0,0.0,0.6249462962150574
10,0.019999999552965164,0.0,0.0,0.019999999552965164
100,0.019999999552965164,0.0,0.0,0.019999999552965164
200,0.03362705186009407,0.0,0.0,0.03362705186009407
300,0.04589157551527023,0.0,0.0,0.04589157551527023
400,0.019999999552965164,0.0,0.0,0.019999999552965164
500,0.0318077951669693,0.0,0.0,0.0318077951669693
600,0.04602663964033127,0.0,0.0,0.04602663964033127
700,0.019999999552965164,0.0,0.0,0.019999999552965164
800,0.03212670981884003,0.0,0.0,0.03212670981884003
900,0.04501347243785858,0.0,0.0,0.04501347243785858
1000,0.019999999552965164,0.0,0.0,0.019999999552965164
1100,0.03414677083492279,0.0,0.0,0.03414677083492279
1200,0.04518326371908188,0.0,0.0,0.04518326371908188
1300,0.019999999552965164,0.0,0.0,0.019999999552965164
1400,0.03351174667477608,0.0,0.0,0.03351174667477608
1500,0.04651781916618347,0.0,0.0,0.04651781916618347
1600,0.019999999552965164,0.0,0.0,0.019999999552965164
1700,0.03241907060146332,0.0,0.0,0.03241907060146332
1800,0.04558967053890228,0.0,0.0,0.04558967053890228
1900,0.019999999552965164,0.0,0.0,0.019999999552965164
2000,0.03246064484119415,0.0,0.0,0.03246064484119415
2100,0.04666315019130707,0.0,0.0,0.04666315019130707
2200,0.019999999552965164,0.0,0.0,0.019999999552965164
2300,0.0556173250079155,0.0,0.0,0.0556173250079155
2400,0.0478023961186409,0.0,0.0,0.0478023961186409
2500,0.019999999552965164,0.0,0.0,0.019999999552965164
2600,0.03202158585190773,0.0,0.0,0.03202158585190773
