global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch,secondary_solver_batch
4300,0.000608,0.000988,0.003076,0.005996,0.001148,0.001001,0.000997,0.002112,0.002484,0.000630,0.000368,0.000391
4400,0.000581,0.000937,0.003077,0.006472,0.001131,0.000996,0.001002,0.002122,0.002486,0.000723,0.000335,0.000416
4500,0.000547,0.000937,0.003077,0.006367,0.001126,0.001000,0.000999,0.002107,0.002529,0.000675,0.000364,0.000389
4600,0.000561,0.000910,0.003075,0.007037,0.001139,0.000999,0.001004,0.002127,0.002242,0.000755,0.000342,0.000393
4700,0.000576,0.000964,0.003084,0.006040,0.001141,0.000997,0.000996,0.002095,0.002656,0.000669,0.000377,0.000387
4800,0.000589,0.000984,0.003078,0.006274,0.001152,0.001001,0.001002,0.002175,0.002448,0.000644,0.000352,0.000382
4900,0.000573,0.000980,0.003079,0.006223,0.001146,0.000999,0.001004,0.002148,0.002500,0.000761,0.000364,0.000376
5000,0.000581,0.000955,0.003093,0.005948,0.001143,0.001003,0.000999,0.002160,0.002430,0.000700,0.000349,0.000373
5100,0.000567,0.000955,0.003077,0.006782,0.001141,0.000999,0.001001,0.002161,0.002249,0.000653,0.000371,0.000376
5200,0.000553,0.000991,0.003079,0.008032,0.001154,0.001000,0.000996,0.002096,0.002501,0.000676,0.000370,0.000362
5300,0.000589,0.000929,0.003076,0.006339,0.001148,0.000996,0.000999,0.002174,0.002600,0.000601,0.000350,0.000372
5400,0.000607,0.000931,0.003079,0.006996,0.001136,0.000999,0.000997,0.002101,0.002541,0.000710,0.000367,0.000394
5500,0.000573,0.000922,0.003084,0.006015,0.001137,0.001002,0.001000,0.002129,0.002371,0.000635,0.000367,0.000388
5600,0.000587,0.001001,0.003076,0.006748,0.001144,0.000999,0.001000,0.002144,0.002559,0.000709,0.000316,0.000366
5700,0.000577,0.000935,0.003080,0.006591,0.001142,0.000999,0.000996,0.002165,0.002485,0.000593,0.000347,0.000382
5800,0.000593,0.000974,0.003078,0.006717,0.001137,0.000999,0.000998,0.002121,0.002152,0.000685,0.000371,0.000390
5900,0.000612,0.000904,0.003077,0.006791,0.001141,0.000997,0.001003,0.002115,0.002367,0.000670,0.000387,0.000389
6000,0.000571,0.000957,0.003080,0.006272,0.001141,0.001001,0.000998,0.002114,0.002148,0.000483,0.000359,0.000376
6100,0.000605,0.000991,0.003077,0.007117,0.001145,0.001000,0.001002,0.002120,0.002591,0.000668,0.000367,0.000384
6200,0.000611,0.000869,0.003080,0.008034,0.001141,0.000998,0.001001,0.002133,0.002250,0.000652,0.000328,0.000362
6300,0.000595,0.000940,0.003065,0.005967,0.001138,0.000999,0.000995,0.002092,0.002157,0.000641,0.000392,0.000371
6400,0.000597,0.001017,0.003083,0.007901,0.001144,0.000997,0.000997,0.002113,0.002287,0.000575,0.000395,0.000383
6500,0.000586,0.001023,0.003069,0.006555,0.001145,0.001001,0.001000,0.002155,0.002586,0.000709,0.000348,0.000383
6600,0.000577,0.000943,0.003082,0.006745,0.001142,0.000998,0.000998,0.002140,0.002198,0.000582,0.000364,0.000390
6700,0.000599,0.000925,0.003075,0.006769,0.001152,0.000997,0.000997,0.002097,0.002360,0.000710,0.000386,0.000369
6800,0.000622,0.000945,0.003081,0.006732,0.001130,0.001004,0.001001,0.002124,0.002383,0.000615,0.000367,0.000362
6900,0.000594,0.001010,0.003068,0.005998,0.001144,0.001000,0.001001,0.002166,0.002498,0.000630,0.000370,0.000353
7000,0.000596,0.000981,0.003085,0.006759,0.001138,0.000997,0.000999,0.002094,0.002254,0.000570,0.000355,0.000394
7100,0.000551,0.000967,0.003080,0.006423,0.001137,0.001000,0.000998,0.002147,0.002416,0.000554,0.000366,0.000371
7200,0.000564,0.000986,0.003078,0.007353,0.001139,0.001002,0.000999,0.002136,0.002969,0.000724,0.000369,0.000361
7300,0.000595,0.001008,0.003085,0.006410,0.001147,0.000995,0.000998,0.002199,0.002465,0.000688,0.000352,0.000360
7400,0.000591,0.000990,0.003081,0.006453,0.001147,0.000997,0.001001,0.002169,0.002558,0.000631,0.000378,0.000349
7500,0.000609,0.000937,0.003077,0.007421,0.001142,0.001002,0.001001,0.002143,0.002294,0.000629,0.000380,0.000356
7600,0.000596,0.000945,0.003077,0.007301,0.001142,0.000996,0.000996,0.002126,0.002493,0.000676,0.000364,0.000377
7700,0.000591,0.000901,0.003085,0.006542,0.001139,0.001000,0.000996,0.002062,0.002243,0.000643,0.000340,0.000374
7800,0.000571,0.001004,0.003074,0.005949,0.001129,0.001000,0.001000,0.002111,0.002264,0.000692,0.000363,0.000384
7900,0.000621,0.000988,0.003078,0.006787,0.001140,0.001002,0.001005,0.002148,0.002659,0.000606,0.000341,0.000364
8000,0.000600,0.000977,0.003078,0.006385,0.001130,0.000998,0.000999,0.002111,0.002295,0.000724,0.000327,0.000370
8100,0.000606,0.000991,0.003078,0.007020,0.001153,0.000999,0.001004,0.002170,0.002226,0.000679,0.000379,0.000356
8200,0.000597,0.000907,0.003082,0.006792,0.001129,0.001000,0.001002,0.002139,0.002790,0.000612,0.000353,0.000380
8300,0.000605,0.001063,0.003086,0.006180,0.001125,0.000999,0.000996,0.002101,0.002264,0.000593,0.000375,0.000382
8400,0.000598,0.001029,0.003079,0.006556,0.001141,0.000997,0.000999,0.002124,0.002503,0.000685,0.000353,0.000366
8500,0.000595,0.000950,0.003072,0.006605,0.001138,0.000998,0.000999,0.002113,0.002350,0.000584,0.000346,0.000386
8600,0.000616,0.000953,0.003079,0.007016,0.001146,0.000999,0.000996,0.002090,0.002606,0.000629,0.000368,0.000349
8700,0.000599,0.000948,0.003077,0.007040,0.001146,0.001002,0.000999,0.002155,0.002639,0.000611,0.000339,0.000366
8800,0.000586,0.000986,0.003083,0.006773,0.001155,0.001000,0.001000,0.002153,0.002580,0.000540,0.000366,0.000379
8900,0.000638,0.000975,0.003075,0.007094,0.001137,0.001001,0.000998,0.002134,0.002297,0.000628,0.000327,0.000355
9000,0.000608,0.000987,0.003079,0.005644,0.001125,0.000999,0.000997,0.002129,0.002781,0.000713,0.000363,0.000364
9100,0.000606,0.000940,0.003083,0.007027,0.001134,0.000998,0.001000,0.002123,0.002957,0.000620,0.000376,0.000353
9200,0.000595,0.000965,0.003074,0.005768,0.001129,0.000998,0.001000,0.002124,0.002301,0.000643,0.000346,0.000360
9300,0.000586,0.000906,0.003081,0.006545,0.001127,0.000996,0.000996,0.002131,0.002319,0.000687,0.000361,0.000362
9400,0.000576,0.001026,0.003062,0.005920,0.001137,0.000999,0.001000,0.002161,0.002569,0.000666,0.000334,0.000360
9500,0.000590,0.000978,0.003077,0.007888,0.001134,0.001001,0.000998,0.002127,0.002480,0.000661,0.000390,0.000374
9600,0.000602,0.000989,0.003088,0.006608,0.001132,0.000996,0.000996,0.002151,0.002235,0.000666,0.000326,0.000379
9700,0.000613,0.000997,0.003081,0.007223,0.001134,0.000999,0.001000,0.002149,0.003136,0.000696,0.000347,0.000369
9800,0.000610,0.000976,0.003079,0.006384,0.001142,0.000997,0.000996,0.002146,0.002575,0.000631,0.000366,0.000367
9900,0.000592,0.000953,0.003088,0.006807,0.001133,0.001000,0.001001,0.002119,0.002312,0.000688,0.000368,0.000370
10000,0.000588,0.001009,0.003076,0.007416,0.001139,0.001002,0.001001,0.002123,0.002242,0.000628,0.000352,0.000358
10100,0.000607,0.001005,0.003078,0.008252,0.001134,0.001000,0.001002,0.002104,0.002170,0.000653,0.000371,0.000348
10200,0.000570,0.001015,0.003076,0.006787,0.001143,0.000996,0.000998,0.002131,0.002485,0.000628,0.000374,0.000403
10300,0.000564,0.000984,0.003078,0.007338,0.001152,0.000996,0.000998,0.002133,0.002554,0.000730,0.000355,0.000361
10400,0.000629,0.000930,0.003085,0.007831,0.001141,0.001001,0.001001,0.002089,0.002560,0.000707,0.000351,0.000387
10500,0.000568,0.000992,0.003076,0.006488,0.001139,0.000997,0.000998,0.002124,0.002257,0.000582,0.000348,0.000384
10600,0.000590,0.000917,0.003083,0.006478,0.001125,0.000998,0.000999,0.002074,0.002361,0.000627,0.000388,0.000367
10700,0.000589,0.001046,0.003078,0.006969,0.001142,0.000999,0.001001,0.002127,0.002732,0.000677,0.000372,0.000361
10800,0.000594,0.001015,0.003062,0.007450,0.001138,0.000999,0.001000,0.002115,0.002809,0.000616,0.000361,0.000359
10900,0.000611,0.000979,0.003078,0.007468,0.001137,0.000999,0.000999,0.002113,0.002708,0.000694,0.000348,0.000367
11000,0.000551,0.000986,0.003078,0.006354,0.001141,0.000994,0.000997,0.002186,0.002572,0.000674,0.000354,0.000382
11100,0.000567,0.000954,0.003077,0.006379,0.001145,0.001000,0.000998,0.002117,0.002299,0.000622,0.000353,0.000371
11200,0.000604,0.001047,0.003074,0.007881,0.001131,0.000997,0.000999,0.002160,0.002553,0.000618,0.000378,0.000359
11300,0.000612,0.000969,0.003080,0.006952,0.001138,0.000997,0.000999,0.002133,0.002333,0.000541,0.000378,0.000364
11400,0.000589,0.000964,0.003069,0.007477,0.001156,0.001002,0.001001,0.002155,0.002780,0.000630,0.000343,0.000372
11500,0.000563,0.000977,0.003082,0.007629,0.001136,0.000998,0.000997,0.002156,0.002300,0.000587,0.000378,0.000375
11600,0.000567,0.000974,0.003081,0.007559,0.001143,0.000997,0.001000,0.002128,0.002613,0.000636,0.000367,0.000364
11700,0.000573,0.000908,0.003075,0.007566,0.001144,0.000999,0.001000,0.002118,0.002216,0.000617,0.000351,0.000356
11800,0.000582,0.000963,0.003077,0.005841,0.001139,0.001002,0.001000,0.002140,0.002392,0.000563,0.000347,0.000358
11900,0.000593,0.000954,0.003076,0.007272,0.001136,0.000997,0.000999,0.002170,0.002412,0.000644,0.000352,0.000365
12000,0.000572,0.000953,0.003085,0.007162,0.001130,0.000998,0.001001,0.002150,0.002781,0.000688,0.000348,0.000351
12100,0.000563,0.000969,0.003082,0.007772,0.001142,0.001001,0.001000,0.002156,0.002511,0.000749,0.000380,0.000365
12200,0.000619,0.000990,0.003081,0.006224,0.001146,0.000997,0.000993,0.002156,0.002835,0.000706,0.000341,0.000377
12300,0.000566,0.000957,0.003079,0.007186,0.001137,0.000999,0.000999,0.002152,0.002286,0.000702,0.000339,0.000356
12400,0.000585,0.001003,0.003076,0.006566,0.001146,0.001005,0.001001,0.002182,0.002308,0.000695,0.000333,0.000366
12500,0.000593,0.000946,0.003078,0.006536,0.001139,0.000998,0.001003,0.002077,0.002707,0.000674,0.000358,0.000366
