global_batch,control_batch,arrow_task_batch,qa_task_batch
16800,0.000956,0.002603,0.001090
16900,0.000915,0.002719,0.001092
17000,0.000932,0.002624,0.001094
17100,0.000968,0.002785,0.001098
17200,0.000976,0.002718,0.001082
17300,0.000968,0.002763,0.001093
17400,0.000988,0.002592,0.001126
17500,0.000938,0.002691,0.001082
17600,0.001006,0.002660,0.001089
17700,0.001000,0.002573,0.001093
17800,0.000977,0.002705,0.001094
17900,0.000966,0.002674,0.001091
18000,0.000939,0.002609,0.001084
18100,0.001052,0.002725,0.001108
18200,0.001007,0.002660,0.001092
18300,0.000982,0.002652,0.001099
18400,0.000925,0.002517,0.001100
18500,0.000982,0.002680,0.001099
18600,0.000964,0.002593,0.001085
18700,0.000942,0.002480,0.001101
18800,0.000922,0.002566,0.001082
18900,0.000956,0.002608,0.001079
19000,0.001007,0.002545,0.001099
19100,0.001064,0.002566,0.001104
19200,0.000927,0.002605,0.001101
19300,0.000909,0.002460,0.001080
19400,0.000960,0.002581,0.001101
19500,0.000927,0.002649,0.001092
19600,0.000920,0.002616,0.001074
19700,0.000930,0.002472,0.001078
19800,0.000932,0.002474,0.001074
19900,0.000933,0.002622,0.001170
20000,0.000929,0.002503,0.001082
20100,0.001067,0.002541,0.001106
20200,0.000959,0.002608,0.001107
20300,0.000902,0.002491,0.001068
20400,0.000925,0.002580,0.001093
20500,0.000912,0.002455,0.001079
20600,0.001049,0.002550,0.001115
20700,0.000943,0.002546,0.001092
20800,0.000909,0.002612,0.001079
20900,0.000967,0.002608,0.001089
21000,0.000882,0.002448,0.001079
21100,0.000888,0.002553,0.001084
21200,0.000904,0.002400,0.001085
21300,0.001018,0.002463,0.001072
21400,0.000934,0.002525,0.001107
21500,0.000963,0.002457,0.001073
21600,0.000957,0.002470,0.001073
21700,0.000886,0.002452,0.001073
21800,0.000917,0.002432,0.001060
21900,0.000895,0.002415,0.001077
22000,0.000908,0.002443,0.001072
22100,0.001028,0.002588,0.001141
22200,0.000971,0.002402,0.001081
22300,0.000994,0.002477,0.001070
22400,0.000918,0.002449,0.001083
22500,0.000877,0.002463,0.001056
22600,0.000896,0.002493,0.001075
22700,0.000913,0.002374,0.001062
22800,0.000883,0.002443,0.001076
22900,0.000897,0.002481,0.001065
23000,0.001010,0.002377,0.001077
23100,0.001828,0.002809,0.001297
23200,0.006549,0.004909,0.002123
23300,0.001550,0.002740,0.001288
23400,0.001124,0.002545,0.001133
23500,0.001121,0.002499,0.001112
23600,0.001046,0.002556,0.001106
23700,0.000960,0.002362,0.001100
23800,0.000960,0.002274,0.001087
23900,0.000950,0.002252,0.001072
24000,0.000895,0.002414,0.001069
24100,0.000949,0.002304,0.001056
24200,0.000960,0.002268,0.001071
24300,0.000921,0.002367,0.001072
24400,0.000941,0.002339,0.001071
24500,0.000900,0.002349,0.001057
24600,0.000940,0.002205,0.001069
24700,0.000879,0.002310,0.001070
24800,0.000858,0.002275,0.001073
24900,0.000841,0.002250,0.001051
25000,0.000892,0.002314,0.001063
25100,0.000854,0.002403,0.001055
25200,0.000872,0.002259,0.001081
25300,0.000839,0.002256,0.001064
25400,0.000845,0.002294,0.001055
25500,0.000879,0.002324,0.001068
25600,0.000883,0.002348,0.001072
25700,0.000878,0.002266,0.001088
25800,0.000885,0.002275,0.001067
25900,0.000869,0.002246,0.001060
26000,0.000851,0.002241,0.001072
26100,0.000908,0.002397,0.001073
26200,0.000848,0.002334,0.001091
26300,0.000883,0.002356,0.001081
26400,0.000914,0.002251,0.001081
26500,0.001043,0.002156,0.001108
26600,0.000993,0.002507,0.001107
26700,0.000901,0.002534,0.001062
26800,0.000856,0.002144,0.001057
26900,0.000896,0.002223,0.001107
27000,0.000857,0.002368,0.001065
27100,0.000893,0.002283,0.001070
27200,0.000903,0.002254,0.001057
27300,0.000868,0.002292,0.001082
27400,0.000900,0.002329,0.001078
27500,0.000873,0.002387,0.001086
27600,0.000843,0.002207,0.001051
27700,0.000855,0.002180,0.001062
27800,0.000843,0.002153,0.001059
27900,0.000894,0.002384,0.001089
28000,0.000839,0.002264,0.001047
28100,0.000894,0.002271,0.001073
28200,0.000981,0.002248,0.001101
28300,0.000851,0.002176,0.001063
28400,0.000842,0.002148,0.001075
28500,0.000865,0.002243,0.001069
28600,0.000849,0.002260,0.001065
28700,0.000896,0.002159,0.001047
28800,0.000859,0.002237,0.001075
28900,0.000865,0.002150,0.001085
29000,0.000878,0.002219,0.001042
29100,0.000854,0.002260,0.001049
29200,0.000899,0.002227,0.001041
29300,0.000965,0.002443,0.001096
29400,0.000890,0.002304,0.001090
29500,0.000876,0.002208,0.001085
29600,0.000842,0.002273,0.001051
29700,0.000821,0.002274,0.001062
29800,0.000801,0.002171,0.001065
29900,0.000847,0.002291,0.001069
30000,0.000846,0.002229,0.001055
30100,0.000869,0.002293,0.001052
30200,0.000803,0.002118,0.001047
30300,0.000921,0.002230,0.001052
30400,0.000807,0.002082,0.001064
30500,0.000828,0.002197,0.001065
30600,0.000874,0.002230,0.001054
30700,0.000846,0.002154,0.001047
30800,0.000866,0.002114,0.001063
30900,0.000789,0.002171,0.001073
31000,0.000814,0.002150,0.001079
31100,0.000824,0.002145,0.001069
31200,0.000808,0.002153,0.001066
31300,0.000823,0.002115,0.001055
31400,0.000826,0.002076,0.001047
31500,0.000824,0.002142,0.001056
31600,0.000840,0.002195,0.001073
31700,0.000832,0.002254,0.001052
31800,0.000859,0.002137,0.001079
31900,0.000856,0.002142,0.001207
32000,0.000829,0.002074,0.001075
32100,0.000844,0.002104,0.001052
32200,0.000826,0.002156,0.001061
32300,0.000808,0.002038,0.001035
32400,0.000803,0.002234,0.001053
32500,0.000806,0.002027,0.001050
32600,0.000855,0.002084,0.001037
32700,0.000848,0.002018,0.001062
32800,0.000845,0.002159,0.001054
32900,0.000826,0.002080,0.001049
33000,0.000830,0.002104,0.001067
33100,0.000850,0.002036,0.001050
33200,0.000841,0.002077,0.001074
33300,0.000794,0.002214,0.001056
33400,0.000918,0.002127,0.001085
33500,0.000816,0.002064,0.001056
33600,0.000900,0.002188,0.001094
33700,0.000861,0.002033,0.001077
33800,0.000800,0.002017,0.001044
33900,0.000810,0.002125,0.001064
34000,0.000803,0.001981,0.001040
34100,0.000817,0.001936,0.001056
34200,0.000801,0.002128,0.001070
34300,0.000814,0.002052,0.001031
34400,0.000788,0.002056,0.001054
34500,0.000786,0.002103,0.001049
34600,0.000824,0.001954,0.001053
34700,0.000817,0.002043,0.001046
34800,0.000786,0.001985,0.001075
34900,0.000802,0.002033,0.001116
35000,0.000827,0.002069,0.001054
35100,0.000787,0.002009,0.001038
35200,0.000792,0.002001,0.001056
35300,0.000774,0.001973,0.001053
35400,0.000763,0.001997,0.001054
35500,0.000793,0.001976,0.001052
35600,0.000793,0.002080,0.001026
35700,0.000797,0.001947,0.001071
35800,0.000800,0.001943,0.001046
35900,0.000796,0.001980,0.001056
36000,0.000808,0.001989,0.001052
36100,0.000826,0.001941,0.001043
36200,0.000797,0.002017,0.001068
36300,0.000799,0.002015,0.001046
36400,0.000802,0.001919,0.001046
36500,0.000766,0.001925,0.001059
36600,0.000819,0.002006,0.001058
36700,0.000796,0.002043,0.001049
36800,0.000774,0.002016,0.001067
36900,0.000792,0.002138,0.001054
37000,0.000804,0.002033,0.001055
37100,0.000755,0.001961,0.001037
37200,0.000811,0.001955,0.001069
37300,0.000762,0.001968,0.001052
37400,0.000790,0.001961,0.001031
37500,0.000774,0.001951,0.001063
37600,0.000788,0.001922,0.001050
37700,0.000887,0.002331,0.001084
37800,0.000876,0.002024,0.001053
37900,0.000760,0.001892,0.001051
