global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch,primary_solver_batch
4700,0.000619,0.000980,0.003087,0.006779,0.001151,0.001000,0.000998,0.002146,0.002500,0.000630,0.000399
4800,0.000568,0.000968,0.003082,0.008062,0.001136,0.001000,0.001003,0.002127,0.003111,0.000715,0.000396
4900,0.000538,0.000951,0.003077,0.006417,0.001148,0.001003,0.001002,0.002068,0.002701,0.000599,0.000397
5000,0.000612,0.000950,0.003092,0.007473,0.001140,0.001000,0.001000,0.002173,0.002237,0.000666,0.000402
5100,0.000583,0.000913,0.003078,0.007492,inf,0.000996,0.001001,0.002137,0.002847,0.000617,0.000393
5200,0.000598,0.000926,0.003081,0.006630,0.001140,0.001003,0.001001,0.002154,0.002353,0.000771,0.000403
5300,0.000618,0.000966,0.003079,0.006522,0.001144,0.000999,0.000997,0.002117,0.002639,0.000640,0.000395
5400,0.000595,0.000922,0.003086,0.005972,0.001135,0.001000,0.000999,0.002129,0.002602,0.000700,0.000385
5500,0.000555,0.000975,0.003088,0.005377,0.001145,0.001003,0.001004,0.002146,0.002408,0.000642,0.000393
5600,0.000608,0.000918,0.003080,0.006116,0.001136,0.001002,0.000998,0.002129,0.002670,0.000663,0.000407
5700,0.000600,0.000922,0.003082,0.006759,0.001140,0.001000,0.000998,0.002159,0.002299,0.000609,0.000407
5800,0.000587,0.000959,0.003083,0.007424,0.001142,0.001001,0.001002,0.002127,0.002796,0.000650,0.000411
5900,0.000593,0.000961,0.003078,0.007781,0.001132,0.001004,0.000997,0.002140,0.002307,0.000644,0.000379
6000,0.000579,0.000983,0.003079,0.006473,0.001139,0.000998,0.001003,0.002134,0.002556,0.000652,0.000390
6100,0.000595,0.001095,0.003081,0.006795,0.001148,0.001002,0.001001,0.002125,0.002212,0.000642,0.000390
6200,0.000592,0.000954,0.003077,0.006260,0.001143,0.001001,0.001002,0.002168,0.002887,0.000688,0.000405
6300,0.000594,0.000977,0.003077,0.007387,0.001141,0.000999,0.000998,0.002150,0.002813,0.000690,0.000381
6400,0.000571,0.000954,0.003084,0.006392,0.001123,0.001000,0.000999,0.002122,0.002258,0.000670,0.000385
