global_batch,control_batch,arrow_task_batch,qa_task_batch,mem_canvas_batch,blue_line_direction_batch,gold_direction_batch,gold_proximity_batch,please_turn_batch,relposition_qa_batch,direction_names_batch
1,inf,inf,inf,inf,inf,inf,0.000773,inf,inf,inf
2,0.000591,inf,inf,inf,inf,inf,0.000773,inf,inf,inf
3,0.000591,inf,inf,inf,inf,inf,0.000773,0.002239,inf,inf
4,0.000591,inf,inf,inf,inf,inf,0.000773,0.002239,inf,0.001511
5,0.000591,inf,inf,inf,0.000822,inf,0.000773,0.002239,inf,0.001511
6,0.000591,inf,inf,0.009382,0.000822,inf,0.000773,0.002239,inf,0.001511
7,0.000591,inf,inf,0.009382,0.000822,inf,0.000773,0.002239,0.001531,0.001511
8,0.000591,inf,inf,0.009382,0.000822,inf,0.000773,0.002239,0.001531,0.001530
9,0.000591,inf,inf,0.009382,0.000822,inf,0.000773,0.002246,0.001531,0.001530
10,0.000591,inf,inf,0.006852,0.000822,inf,0.000773,0.002246,0.001531,0.001530
100,0.000562,0.001058,0.001886,0.006287,0.000811,0.000775,0.000745,0.002248,0.001523,0.001505
200,0.000557,0.001103,0.001891,0.006911,0.000802,0.000741,0.000759,0.002271,0.001514,0.001406
300,0.000549,0.001050,0.001860,0.006794,0.000810,0.000771,0.000766,0.002295,0.001545,0.001387
400,0.000565,0.001082,0.001853,0.007310,0.000796,0.000763,0.000774,0.002290,0.001583,0.001382
500,0.000559,0.001062,0.001855,0.005727,0.000793,0.000771,0.000754,0.002297,0.001515,0.001334
600,0.000576,0.001090,0.001883,0.007123,0.000815,0.000752,0.000770,0.002280,0.001522,0.001331
700,0.000579,0.001050,0.001841,0.007020,0.000804,0.000741,0.000767,0.002287,0.001532,0.001591
800,0.000557,0.001091,0.001883,0.007336,0.000805,0.000765,0.000769,0.002269,0.001526,0.001355
900,0.000552,0.001016,0.001858,0.006181,0.000800,0.000755,0.000774,0.002289,0.001553,0.001309
1000,0.000572,0.001052,0.001841,0.006364,0.000792,0.000754,0.000737,0.002275,0.001546,0.001281
