batch,total_loss,img_recall_loss,text_loss,weight_ce_loss
1,0.008899352513253689,0.0003323860000818968,8.56696605682373,0.0
2,1.9761825799942017,0.008275697939097881,9.308039665222168,1.9585988521575928
3,2.403439521789551,0.01027428638190031,8.606637001037598,2.38455867767334
4,0.009470499120652676,0.0003179780615027994,9.152521133422852,0.0
5,0.8613131046295166,0.008441399782896042,9.629402160644531,0.8432422876358032
6,1.2413697242736816,0.009179344400763512,9.299835205078125,1.2228904962539673
7,0.009301169775426388,0.00035667663905769587,8.94449234008789,0.0
8,0.6928831934928894,0.006106095854192972,9.423181533813477,0.6773539185523987
9,1.1229802370071411,0.0069273170083761215,9.03596019744873,1.107016921043396
10,0.009271378628909588,0.0003646603145170957,8.906718254089355,0.0
100,0.009572315029799938,0.00032263511093333364,9.249679565429688,0.0
200,0.6983418464660645,0.007062355522066355,9.295425415039062,0.6819840669631958
300,0.7968410849571228,0.004220327828079462,9.381052017211914,0.7832397222518921
400,0.009011653251945972,0.00034783524461090565,8.663817405700684,0.0
500,0.18594488501548767,0.0013302615843713284,8.81588077545166,0.17579874396324158
600,0.04660101234912872,0.0004285024187993258,9.359807014465332,0.03681270033121109
700,0.00900973565876484,0.00036543566966429353,8.644299507141113,0.0
800,0.03656332194805145,0.0006220937939360738,9.17292308807373,0.026768306270241737
900,0.03771407529711723,0.0005511898198165,8.592138290405273,0.02857074700295925
1000,0.009671942330896854,0.00033835001522675157,9.33359146118164,0.0
1100,0.009739707224071026,0.0004027555405627936,9.238932609558105,9.801849228097126e-05
1200,0.011893156915903091,0.00048261150368489325,9.041257858276367,0.002369287656620145
1300,0.009665554389357567,0.000331814429955557,9.333739280700684,0.0
1400,0.010207042098045349,0.00035769245005212724,9.599885940551758,0.0002494628424756229
1500,0.9930739402770996,0.005703540053218603,9.14279842376709,0.9782276153564453
1600,0.009192640893161297,0.0003632431908044964,8.829397201538086,0.0
1700,0.1434362679719925,0.001081000198610127,9.057909965515137,0.13329735398292542
1800,0.8805086612701416,0.0045581357553601265,8.850391387939453,0.8671001195907593
1900,0.008986769244074821,0.00034243689151480794,8.644331932067871,0.0
2000,0.24150004982948303,0.001790286973118782,8.954090118408203,0.23075567185878754
2100,0.5031867623329163,0.0025858592707663774,9.546138763427734,0.4910547435283661
2200,0.009354720823466778,0.0003355515655130148,9.019168853759766,0.0
2300,0.2167399376630783,0.001747790491208434,9.653580665588379,0.20533856749534607
2400,0.06335826218128204,0.0006293458282016218,9.391117095947266,0.05333780124783516
2500,0.00911896675825119,0.00035765711800195277,8.761309623718262,0.0
2600,0.028867244720458984,0.0005457676015794277,9.473011016845703,0.018848465755581856
2700,0.010557100176811218,0.000390206987503916,9.333102226257324,0.000833789526950568
2800,0.008718426339328289,0.00035923384712077677,8.359192848205566,0.0
2900,0.011311283335089684,0.00045414079795591533,9.333378791809082,0.0015237631741911173
3000,0.012657765299081802,0.00044833263382315636,8.876714706420898,0.0033327171113342047
3100,0.009036854840815067,0.00034350412897765636,8.693349838256836,0.0
3200,0.01309971883893013,0.00047464491217397153,9.459609985351562,0.003165464149788022
3300,0.018132951110601425,0.0004508834390435368,9.237312316894531,0.008444755338132381
3400,0.009318791329860687,0.0003309754829388112,8.987815856933594,0.0
3500,0.009914670139551163,0.0004816977016162127,9.37646770477295,5.650440652971156e-05
3600,0.010339105501770973,0.0005039777606725693,9.012361526489258,0.0008227654616348445
3700,0.008943075314164162,0.0003336445370223373,8.609430313110352,0.0
3800,0.019119329750537872,0.0005077898385934532,10.227842330932617,0.008383696898818016
3900,0.009940304793417454,0.000416738010244444,9.46284294128418,6.07235670031514e-05
4000,0.009316205978393555,0.0003193615411873907,8.996844291687012,0.0
4100,0.008862101472914219,0.00047759892186149955,8.350756645202637,3.374572770553641e-05
4200,0.016614889726042747,0.0005244082421995699,9.13803768157959,0.006952442694455385
4300,0.009331547655165195,0.0003731676551979035,8.958379745483398,0.0
4400,0.009743857197463512,0.00035774815478362143,9.367809295654297,1.8299197108717635e-05
4500,0.009930279105901718,0.00048525832244195044,9.398682594299316,4.63377327832859e-05
4600,0.009545862674713135,0.00032455477048642933,9.221307754516602,0.0
4700,0.009526027366518974,0.0003689914010465145,9.12413215637207,3.290333188488148e-05
4800,0.009454377926886082,0.0003777660022024065,8.926024436950684,0.00015058740973472595
4900,0.008864596486091614,0.0003569212567526847,8.507675170898438,0.0
5000,0.010989961214363575,0.0004814129206351936,9.002243995666504,0.0015063041355460882
5100,0.009559303522109985,0.00043113745050504804,9.05930233001709,6.88637446728535e-05
5200,0.009040268138051033,0.00035577884409576654,8.684488296508789,0.0
5300,0.009134712629020214,0.0004746487538795918,8.623359680175781,3.670410660561174e-05
5400,0.7810893058776855,0.003968319855630398,8.935760498046875,0.7681851983070374
5500,0.009178757667541504,0.0003734355850610882,8.80532169342041,0.0
5600,0.10367975383996964,0.0008205976919271052,8.973116874694824,0.09388604015111923
5700,0.015480665490031242,0.0004672951181419194,8.491552352905273,0.00652181776240468
5800,0.008701912127435207,0.0003638622001744807,8.33804988861084,0.0
5900,0.010146488435566425,0.00032527619623579085,9.437314987182617,0.00038389716064557433
6000,0.009677138179540634,0.0004014088190160692,9.118631362915039,0.0001570986059959978
6100,0.009083539247512817,0.0003410835633985698,8.742454528808594,0.0
6200,0.010083447210490704,0.0004533538594841957,9.149845123291016,0.00048024728312157094
6300,0.00970210786908865,0.0003764475113712251,9.091534614562988,0.0002341263461858034
6400,0.009747420437633991,0.0003585105005186051,9.388909339904785,0.0
6500,0.009683061391115189,0.00044179693213663995,9.21379566192627,2.7468540793051943e-05
6600,0.015387729741632938,0.00042938825208693743,8.848329544067383,0.006110011599957943
6700,0.009418660774827003,0.00036193616688251495,9.056724548339844,0.0
6800,0.01013652142137289,0.0004486091493163258,9.228814125061035,0.00045909819891676307
6900,0.010720726102590561,0.00053504976676777,9.012003898620605,0.0011736724991351366
7000,0.008958915248513222,0.0003620627394411713,8.59685230255127,0.0
7100,0.012766066007316113,0.0004069300484843552,9.200091361999512,0.0031590440776199102
7200,0.010398909449577332,0.00041845423402264714,9.027117729187012,0.0009533375268802047
7300,0.008638091385364532,0.00033842140692286193,8.299670219421387,0.0
7400,0.4267925024032593,0.002893845085054636,8.57365608215332,0.41532498598098755
7500,0.4248908758163452,0.0026901988312602043,9.234517097473145,0.41296616196632385
7600,0.009062354452908039,0.0003587790997698903,8.703575134277344,0.0
7700,0.056944068521261215,0.0005002216203138232,9.620655059814453,0.04682319238781929
